Hearing_group,Species,Species_group,Study,Area,Source,Sound_source,Sound_source_position,Sound_source_depth,Frequency_reported,Duration,RL,RL_unit,RL_measured_or_estimated,Source_range,Number_individuals,Sex,Age_yr,PriorBehavior,Behavioural_response,Highest_severity_scale ,Behavior2,Displacement_avoidance ,Acoustic_change_type
Low-frequency,Bowhead whale,Mysticetes,Patenaude et al. 2002,Beaufort Sea,Aircraft ,Aircraft ,Moving,,10 - 500 Hz,,125,rms,Measured,altitudes less than 150 m and lateral distance of 250,,,,,"Short dive durations, abrupt dives, orienting away from noise",6,High,Avoidance,Not measured/reported
Mid-frequency,Beluga whale,Beluga,Patenaude et al. 2002,Beaufort Sea,Aircraft ,Aircraft ,Moving,,10 - 500 Hz,,125,rms,Measured,altitudes less than 150 m and lateral distance of 250,,,,,"Short dive durations, abrupt dives, orienting away from noise",6,High,Avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,Patenaude et al. 2002,Beaufort Sea,Aircraft ,Aircraft ,Moving,,10 - 500 Hz,,120,rms,Measured,altitudes less than 150 m and lateral distance of 250,,,,,"Short dive durations, abrupt dives, orienting away from noise",6,High,Avoidance,Not measured/reported
Mid-frequency,Beluga whale,Beluga,Patenaude et al. 2002,Beaufort Sea,Aircraft ,Aircraft ,Moving,,10 - 500 Hz,,120,rms,Measured,altitudes less than 150 m and lateral distance of 250,,,,,"Short dive durations, abrupt dives, orienting away from noise",6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Koschinski and Culik 1997,,Acoustic alarm,Acoustic alarm,Stationary,,2.5 kHz,,72,Not explicit,Measured,,,,,,Avoidance,6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Gearin et al. 2000,"Washington state, US",Acoustic alarm,Acoustic alarm,Stationary,,3 - 20 kHz,,90,Not explicit,Measured,,,,,,Reduced by-catch,6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Trippel et al. 1999,"Bay of Fundy, Canada",Acoustic alarm,Acoustic alarm,Stationary,,10 - 12 kHz,3 s pulse every 4 s,90,Not explicit,Measured,,,,,,Reduced by-catch,6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Carlstrom et al. 2002,Swedish west coast,Acoustic alarm,Acoustic alarm,Stationary,,10 kHz,every 4 s,98,Not explicit,Estimated,,,,,,No by-catch recorded,6,High,Avoidance,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Cox et al. 2004,"East coast, US",Acoustic alarm,Acoustic alarm,Stationary,,10 kHz,every 4 s,120,Not explicit,Measured,,,,,,Pingers displaced bottlenose dolphins from the gillnet in a subtle manner,6,High,Avoidance,Not measured/reported
High-frequency,Hector's dolphin,Dolphin,Stone et al. 1997 in Nowacek et al. 2007,,Acoustic alarm,Acoustic alarm,Stationary,,10 kHz,every 4 s,86,rms,Estimated,,,,,,Avoidance of sound source,6,High,Avoidance,Not measured/reported
Pinnipeds,Harbor seal,Pinnipeds (in water),Terhune et al. 2002,"Bay of Fundy, Canada",Acoustic alarm,Acoustic alarm,Stationary,,10 - 19 kHz,1. 8 msec or >50 msec,95,Not explicit,Measured,1.3 km - 2.9 km,,,,,NA,,,,
Mid-frequency,Various,Dolphin,Papale et al. 2015,Canary Islands,Continuous,Vessel ,Moving,,Highest RL measured between 8.9 - 11.2 kHz,,111,rms,Measured,,,,,Foraging,"Dolphins modified the acoustic structure of whistles in association with increasing levels of the environmental background noise occurring within the frequency bands of social communication. Furthermore, our results show that noise selectively influences various parameters of the acoustic signal. Dolphins appear to adopt a noise-induced vocal compensation, thereby giving rise to species-specific shifts in frequency parameters, and finally increasing the frequency of their calls according to the level of environmental background noise. This is probably a compensatory strategy to maintain threshold levels favourable for communication.",4,Moderate,Not-avoidance,Vocalization frequency shift
Mid-frequency,Blainvilles beaked whale,Beaked whale,McCarthy et al. 2011,"Tongue of the Ocean, Bahamas",MFAS,Mid-frequency sonar,Moving,,2 – 10 kHz (4.5–8.2 kHz and 2.6–3.5 kHz),Real navy test conducted during 2007 and 2008,157,rms,Measured,2 - 28 km,,,,Foraging,Vocal activity was observed to decline during active sonar exercises and increase upon cessation of sonar transmissions in both data sets. Clicks detected during sonar operations were generally found to be on the periphery of the hydrophone field and vocal durations declined for those groups that remained on the range in that time period.,5,Moderate,Avoidance,Vocalization Rate Decrease
Mid-frequency,Bottlenose dolphin,Dolphin,La Manna et al. 2013,Mediterranean Sea,Continuous,Vessel ,Moving,,,"Continuous, heavy boat traffic from June to September, when tourism is at its highest",,,,,,,,Various,"The dolphins’ behavioural strategies depend on the kind of boats: in the case of motorboats, dolphins preferred to leave the area as the disturbance became too heavy to be tolerated; in the case of trawlers, dolphins changed their acoustic behaviour to compensate for the masking noise. Longer signal duration and higher maximum frequency were used by bottlenose dolphins in presence of anthropogenic noise.",5,Moderate,Not-avoidance,"Vocalization Frequency Shift, Vocalization Duration Increase"
High-frequency,Harbour porpoise,Porpoise,Kyhn et al. 2015,Denmark,Acoustic alarm,Acoustic alarm,Stationary,,10 kHz,"once
every 4 s",,,,"degree of habitat
displacement was limited to less than 2.5 km",,,,Various,"Both SaveWave and Airmar pingers effectively reduced harbour porpoise presence measured as acoustic encounters during both the Periodic exposure experiment (mimicking a real fishery) and during the Constant exposure experiment. The number of acoustic encounters increased during the Periodic exposure to Airmar signals, but very little during exposure to SaveWave signals, illustrating a gradual toleration of the Airmar signals over time, which may be caused by habituation of individual porpoises. The reason for the difference in response between the 2 pingers is likely that the Airmar signals were of constant repetition rate, duration and frequency, whereas the SaveWave signals varied in signal type, frequency, duration and repetition rate and were more audible to harbour porpoises.",6,High,Avoidance,Vocalization Rate Decrease
Low-frequency,Bowhead whale,Mysticetes,Blackwell et al. 2015,Beaufort Sea,Seismic-Explosion,Seismic,Moving,,,,160,"CSEL10-
min) dB re 1 ?Pa2-
s",Measured,,,,,,"Calling rates increased as soon as airgun pulses were detectable, compared to calling rates in the absence of airgun pulses. After the initial increase, calling rates leveled off at a received CSEL10-min of ~94 dB re 1 ?Pa2-s (the lower threshold). In contrast, once CSEL10-min exceeded ~127 dB re 1 ?Pa2- s (the upper threshold), whale calling rates began decreasing, and when CSEL10-min values were above ~160 dB re 1 ?Pa2-s, the whales were virtually silent.",4,Moderate,Not-avoidance,Vocalization Rate Decrease
Mid-frequency,Bottllenose and common dolphin,Dolphin,Barry et al. 2012," Europe, West Africa, and Australia",Seismic-Explosion,Seismic,Moving,,0 to 300 Hz,,,,,,,,,,"During air gun activity,
common dolphins demonstrated predominant behaviors of “traveling” and “traveling with active
displays.”Although the air guns were inactive, both bottlenose and common dolphin observations demonstrated
predominantly “close to boat” behavior.",2,Moderate,Not-avoidance,Not measured/reported
Low-frequency,Baleen whale,Mysticetes,Bernasconi et al. 2012,Norway,High frequency ,Sonar and echo sounder,Moving,,"20 and 110 kHz; 18, 38, 70, 120, and 200 kHz",26 - 57 min,183,,Measured,,4,,,,"Based on surface
observations, it seems likely that the vessel and/or the active acoustic instrumentation onboard
did not have any apparent impact on baleen whales. The whales did not leave the area, increase
dive duration, or swimming speed. The whales only kept some distance to the vessel, which can
be looked on as a minimum safe “predator” distance. We believe that whales gradually adapt over
time to operating fishing vessels and sonar systems and identify noises that do not represent any
immediate threat.",1,Moderate,Not-avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Brandt et al. 2014,North Sea,Pile driving,Pile driving,Stationary,9 - 18 m,,,176,SEL,Measured,17.8 km,,,,,"We found a clear negative impact of pile driving during wind farm construction on porpoise
acoustic activity. Porpoise activity measured as PPM/H was temporarily reduced during and after
pile driving at a minimum distance of up to 17.8 km at Horns Rev II, whereas no such effect was
found at a mean distance of 21.7 km.",5,Moderate,Not-avoidance,Vocalization Rate Decrease
High-frequency,Harbour porpoise,Porpoise,Lucke et al. 2012,Germany,Pile driving,Pile driving,Stationary,,,,,,,8 km,,,,,"The C-POD data revealed that during the pile-driving activities for the construction of the transformer
platform as well as for the first offshore wind turbines, the detection rate for Phocoena
phocoena decreased significantly.",6,High,Avoidance,Vocalization rate decrease
Mid-frequency,Bottlenose dolphin,Dolphin,May-Collado and Wartzok 2008,eastern Atlantic Ocean,Continuous,Vessel ,Moving,,,,,,,,,,,,"A combination of factors may contribute to microgeographic whistle variation, including differences in ambient noise levels (dolphins produced relatively higher frequency whistles in the noisiest habitat), and differences in number of boats present (when multiple boats were present, dolphins whistled with greater frequency modulation and whistles were higher in maximum frequency and longer than when a single boat was present).",4,Moderate,Not-avoidance,Vocalization frequency shift
